id,der_id,scenario,date,value
112,1,4,2037-09-05 00:00:00,139.2557194635748
113,1,3,2037-03-21 00:00:00,126.69732798882083
114,1,3,2037-12-12 00:00:00,130.6806901401935
115,1,3,2037-11-21 00:00:00,129.66547452649
116,1,3,2037-11-28 00:00:00,127.32047389221412
117,1,4,2037-06-20 00:00:00,129.25015069204386
118,1,4,2037-07-11 00:00:00,124.3678524579919
119,1,4,2037-01-24 00:00:00,145.5989362630151
120,1,4,2037-09-05 00:00:00,139.2557194635748
121,1,4,2037-06-20 00:00:00,129.25015069204386
122,1,4,2037-07-11 00:00:00,124.3678524579919
123,1,4,2037-01-24 00:00:00,145.5989362630151
124,1,4,2037-09-05 00:00:00,139.2557194635748
125,1,4,2037-06-20 00:00:00,129.25015069204386
126,1,4,2037-07-11 00:00:00,124.3678524579919
127,1,4,2037-01-24 00:00:00,145.5989362630151
128,1,4,2037-09-05 00:00:00,139.2557194635748
129,2,3,2022-08-08 00:00:00,3.220144657314103
130,2,3,2022-09-12 00:00:00,3.2103400245647107
131,2,3,2022-08-29 00:00:00,3.2082652624976977
132,2,3,2022-05-02 00:00:00,3.193172017684317
133,2,1,2027-11-14 00:00:00,0
134,2,1,2027-04-04 00:00:00,0
135,2,1,2027-07-18 00:00:00,0
136,2,1,2027-10-17 00:00:00,0
137,2,2,2027-07-04 00:00:00,9.769119379501722
138,2,2,2027-06-06 00:00:00,9.675199801897099
139,2,2,2027-08-08 00:00:00,9.736131876046977
140,2,2,2027-06-06 00:00:00,9.675199801897099
141,2,3,2027-09-12 00:00:00,19.73428082455912
142,2,3,2027-05-16 00:00:00,19.800947496985987
143,2,3,2027-11-14 00:00:00,19.80839631078055
144,2,3,2027-03-14 00:00:00,20.040472514274335
145,2,4,2027-09-19 00:00:00,20.011728562544562
146,2,4,2027-02-28 00:00:00,20.220960283275243
147,2,4,2027-02-07 00:00:00,20.08146174186858
148,2,4,2027-03-14 00:00:00,20.040472514274335
149,2,1,2032-03-06 00:00:00,0
150,2,1,2032-03-20 00:00:00,0
151,2,1,2032-07-24 00:00:00,0
152,2,1,2032-11-27 00:00:00,0
153,2,2,2032-10-09 00:00:00,18.19830673303597
154,2,2,2032-08-07 00:00:00,18.1014483097311
155,2,2,2032-09-11 00:00:00,18.293758948581793
156,2,2,2032-06-19 00:00:00,18.1502514407802
157,2,3,2032-03-27 00:00:00,36.81942142202
158,2,3,2032-07-17 00:00:00,36.3437769271975
159,2,3,2032-10-09 00:00:00,36.39661345478315
160,2,3,2032-05-15 00:00:00,37.075353813396575
161,2,2,2032-10-09 00:00:00,18.19830673303597
162,2,2,2032-08-07 00:00:00,18.1014483097311
163,2,2,2032-09-11 00:00:00,18.293758948581793
164,2,2,2032-06-19 00:00:00,18.1502514407802
165,2,3,2032-03-27 00:00:00,36.81942142202
166,2,3,2032-07-17 00:00:00,36.3437769271975
167,2,3,2032-10-09 00:00:00,36.39661345478315
168,2,3,2032-05-15 00:00:00,37.075353813396575
169,2,4,2032-02-14 00:00:00,37.7412633926998
170,2,4,2032-11-27 00:00:00,37.338721066842034
171,2,4,2032-09-18 00:00:00,36.906110108225974
172,2,4,2032-11-27 00:00:00,37.338721066842034
173,2,3,2032-03-27 00:00:00,36.81942142202
174,2,3,2032-07-17 00:00:00,36.3437769271975
175,2,3,2032-10-09 00:00:00,36.39661345478315
176,2,3,2032-05-15 00:00:00,37.075353813396575
177,2,4,2032-02-14 00:00:00,37.7412633926998
178,2,4,2032-11-27 00:00:00,37.338721066842034
179,2,4,2032-09-18 00:00:00,36.906110108225974
180,2,4,2032-11-27 00:00:00,37.338721066842034
181,2,4,2032-02-14 00:00:00,37.7412633926998
182,2,4,2032-11-27 00:00:00,37.338721066842034
183,2,4,2032-09-18 00:00:00,36.906110108225974
184,2,4,2032-11-27 00:00:00,37.338721066842034
185,2,1,2037-09-26 00:00:00,0
186,2,1,2037-10-24 00:00:00,0
187,2,1,2037-12-19 00:00:00,0
188,2,1,2037-09-26 00:00:00,0
189,2,2,2037-01-31 00:00:00,27.959042259601993
190,2,2,2037-09-26 00:00:00,26.981959638998546
191,2,2,2037-10-10 00:00:00,27.185201087256477
192,2,2,2037-06-13 00:00:00,27.28020177690327
193,2,3,2037-03-21 00:00:00,55.02673348479988
194,2,3,2037-12-12 00:00:00,54.999842533078116
195,2,3,2037-11-21 00:00:00,54.89288462963927
196,2,3,2037-11-28 00:00:00,54.903652546879705
197,2,2,2037-01-31 00:00:00,27.959042259601993
198,2,2,2037-09-26 00:00:00,26.981959638998546
199,2,2,2037-10-10 00:00:00,27.185201087256477
200,2,2,2037-06-13 00:00:00,27.28020177690327
201,2,3,2037-03-21 00:00:00,55.02673348479988
202,2,3,2037-12-12 00:00:00,54.999842533078116
203,2,3,2037-11-21 00:00:00,54.89288462963927
204,2,3,2037-11-28 00:00:00,54.903652546879705
205,2,4,2037-06-20 00:00:00,55.77490184335455
206,2,4,2037-07-11 00:00:00,56.77927122257627
207,2,4,2037-01-24 00:00:00,56.044421953675595
208,2,4,2037-09-05 00:00:00,56.48958325018804
209,2,3,2037-03-21 00:00:00,55.02673348479988
210,2,3,2037-12-12 00:00:00,54.999842533078116
211,2,3,2037-11-21 00:00:00,54.89288462963927
212,2,3,2037-11-28 00:00:00,54.903652546879705
213,2,4,2037-06-20 00:00:00,55.77490184335455
214,2,4,2037-07-11 00:00:00,56.77927122257627
215,2,4,2037-01-24 00:00:00,56.044421953675595
216,2,4,2037-09-05 00:00:00,56.48958325018804
217,2,2,2037-01-31 00:00:00,27.959042259601993
218,2,2,2037-09-26 00:00:00,26.981959638998546
219,2,2,2037-10-10 00:00:00,27.185201087256477
220,2,2,2037-06-13 00:00:00,27.28020177690327
221,2,3,2037-03-21 00:00:00,55.02673348479988
222,2,3,2037-12-12 00:00:00,54.999842533078116
223,2,3,2037-11-21 00:00:00,54.89288462963927
224,2,3,2037-11-28 00:00:00,54.903652546879705
225,2,4,2037-06-20 00:00:00,55.77490184335455
226,2,4,2037-07-11 00:00:00,56.77927122257627
