id,lin_id,scenario,date,value
123,2,2,2050-12-01 00:00:00,700
124,2,2,2051-01-01 00:00:00,700
125,2,2,2051-06-01 00:00:00,1050
126,2,3,2050-07-01 00:00:00,1050
127,2,3,2050-12-01 00:00:00,700
128,2,3,2051-01-01 00:00:00,700
129,2,3,2051-06-01 00:00:00,1050
130,3,1,2025-07-01 00:00:00,1100
131,3,1,2025-12-01 00:00:00,1100
132,3,1,2026-01-01 00:00:00,1100
133,3,1,2026-06-01 00:00:00,1100
134,3,2,2025-07-01 00:00:00,1100
135,3,2,2025-12-01 00:00:00,1100
136,3,2,2026-01-01 00:00:00,1100
137,3,2,2026-06-01 00:00:00,1100
138,3,3,2025-07-01 00:00:00,1100
139,3,3,2025-12-01 00:00:00,1100
140,3,3,2026-01-01 00:00:00,1100
141,3,3,2026-06-01 00:00:00,1100
142,3,1,2030-07-01 00:00:00,1100
143,3,1,2030-12-01 00:00:00,1100
144,3,1,2031-01-01 00:00:00,1100
145,3,1,2031-06-01 00:00:00,1100
146,3,2,2030-07-01 00:00:00,1100
147,3,2,2030-12-01 00:00:00,1100
148,3,2,2031-01-01 00:00:00,1100
149,3,2,2031-06-01 00:00:00,1100
150,3,3,2030-07-01 00:00:00,1100
151,3,3,2030-12-01 00:00:00,1100
152,3,3,2031-01-01 00:00:00,1100
153,3,3,2031-06-01 00:00:00,1100
154,3,1,2035-07-01 00:00:00,1100
155,3,1,2035-12-01 00:00:00,1100
156,3,1,2036-01-01 00:00:00,1100
157,3,1,2036-06-01 00:00:00,1100
158,3,2,2035-07-01 00:00:00,1100
159,3,2,2035-12-01 00:00:00,1100
160,3,2,2036-01-01 00:00:00,1100
161,3,2,2036-06-01 00:00:00,1100
162,3,3,2035-07-01 00:00:00,1100
163,3,3,2035-12-01 00:00:00,1100
164,3,3,2036-01-01 00:00:00,1100
165,3,3,2036-06-01 00:00:00,1100
166,3,1,2040-07-01 00:00:00,1100
167,3,1,2040-12-01 00:00:00,1100
168,3,1,2041-01-01 00:00:00,1100
169,3,1,2041-06-01 00:00:00,1100
170,3,2,2040-07-01 00:00:00,1100
171,3,2,2040-12-01 00:00:00,1100
172,3,2,2041-01-01 00:00:00,1100
173,3,2,2041-06-01 00:00:00,1100
174,3,3,2040-07-01 00:00:00,1100
175,3,3,2040-12-01 00:00:00,1100
176,3,3,2041-01-01 00:00:00,1100
177,3,3,2041-06-01 00:00:00,1100
178,3,1,2050-07-01 00:00:00,1100
179,3,1,2050-12-01 00:00:00,1100
180,3,1,2051-01-01 00:00:00,1100
181,3,1,2051-06-01 00:00:00,1100
182,3,2,2050-07-01 00:00:00,1100
183,3,2,2050-12-01 00:00:00,1100
184,3,2,2051-01-01 00:00:00,1100
185,3,2,2051-06-01 00:00:00,1100
186,3,3,2050-07-01 00:00:00,1100
187,3,3,2050-12-01 00:00:00,1100
188,3,3,2051-01-01 00:00:00,1100
189,3,3,2051-06-01 00:00:00,1100
190,4,1,2025-07-01 00:00:00,745
191,4,1,2025-12-01 00:00:00,745
192,4,1,2026-01-01 00:00:00,745
193,4,1,2026-06-01 00:00:00,745
194,4,2,2025-07-01 00:00:00,745
195,4,2,2025-12-01 00:00:00,745
196,4,2,2026-01-01 00:00:00,745
197,4,2,2026-06-01 00:00:00,745
198,4,3,2025-07-01 00:00:00,745
199,4,3,2025-12-01 00:00:00,745
200,4,3,2026-01-01 00:00:00,745
201,4,3,2026-06-01 00:00:00,745
202,4,1,2030-07-01 00:00:00,745
203,4,1,2030-12-01 00:00:00,745
204,4,1,2031-01-01 00:00:00,745
205,4,1,2031-06-01 00:00:00,745
206,4,2,2030-07-01 00:00:00,745
207,4,2,2030-12-01 00:00:00,745
208,4,2,2031-01-01 00:00:00,745
209,4,2,2031-06-01 00:00:00,745
210,4,3,2030-07-01 00:00:00,745
211,4,3,2030-12-01 00:00:00,745
212,4,3,2031-01-01 00:00:00,745
213,4,3,2031-06-01 00:00:00,745
214,4,1,2035-07-01 00:00:00,745
215,4,1,2035-12-01 00:00:00,745
216,4,1,2036-01-01 00:00:00,745
217,4,1,2036-06-01 00:00:00,745
218,4,2,2035-07-01 00:00:00,745
219,4,2,2035-12-01 00:00:00,745
220,4,2,2036-01-01 00:00:00,745
221,4,2,2036-06-01 00:00:00,745
222,4,3,2035-07-01 00:00:00,745
223,4,3,2035-12-01 00:00:00,745
224,4,3,2036-01-01 00:00:00,745
225,4,3,2036-06-01 00:00:00,745
226,4,1,2040-07-01 00:00:00,745
227,4,1,2040-12-01 00:00:00,745
228,4,1,2041-01-01 00:00:00,745
229,4,1,2041-06-01 00:00:00,745
230,4,2,2040-07-01 00:00:00,745
231,4,2,2040-12-01 00:00:00,745
232,4,2,2041-01-01 00:00:00,745
233,4,2,2041-06-01 00:00:00,745
234,4,3,2040-07-01 00:00:00,745
235,4,3,2040-12-01 00:00:00,745
236,4,3,2041-01-01 00:00:00,745
237,4,3,2041-06-01 00:00:00,745
238,4,1,2050-07-01 00:00:00,745
239,4,1,2050-12-01 00:00:00,745
240,4,1,2051-01-01 00:00:00,745
241,4,1,2051-06-01 00:00:00,745
242,4,2,2050-07-01 00:00:00,745
243,4,2,2050-12-01 00:00:00,745
244,4,2,2051-01-01 00:00:00,745
245,4,2,2051-06-01 00:00:00,745
246,4,3,2050-07-01 00:00:00,745
247,4,3,2050-12-01 00:00:00,745
248,4,3,2051-01-01 00:00:00,745
249,4,3,2051-06-01 00:00:00,745
250,5,1,2025-07-01 00:00:00,50
251,5,1,2025-12-01 00:00:00,50
252,5,1,2026-01-01 00:00:00,50
253,5,1,2026-06-01 00:00:00,50
254,5,2,2025-07-01 00:00:00,50
255,5,2,2025-12-01 00:00:00,50
256,5,2,2026-01-01 00:00:00,50
257,5,2,2026-06-01 00:00:00,50
258,5,3,2025-07-01 00:00:00,50
259,5,3,2025-12-01 00:00:00,50
260,5,3,2026-01-01 00:00:00,50
261,5,3,2026-06-01 00:00:00,50
262,5,1,2030-07-01 00:00:00,50
263,5,1,2030-12-01 00:00:00,50
264,5,1,2031-01-01 00:00:00,50
265,5,1,2031-06-01 00:00:00,50
266,5,2,2030-07-01 00:00:00,50
267,5,2,2030-12-01 00:00:00,50
268,5,2,2031-01-01 00:00:00,50
269,5,2,2031-06-01 00:00:00,50
270,5,3,2030-07-01 00:00:00,50
271,5,3,2030-12-01 00:00:00,50
272,5,3,2031-01-01 00:00:00,50
273,5,3,2031-06-01 00:00:00,50
274,5,1,2035-07-01 00:00:00,50
275,5,1,2035-12-01 00:00:00,50
276,5,1,2036-01-01 00:00:00,50
277,5,1,2036-06-01 00:00:00,50
278,5,2,2035-07-01 00:00:00,50
279,5,2,2035-12-01 00:00:00,50
280,5,2,2036-01-01 00:00:00,50
281,5,2,2036-06-01 00:00:00,50
282,5,3,2035-07-01 00:00:00,50
