id,h2dem_id,scenario,date,value
247,4,3,2036-07-01 00:00:00,134240.67196697503
248,4,3,2037-07-01 00:00:00,143159.59279621724
249,4,3,2038-07-01 00:00:00,150270.15320940892
250,4,3,2039-07-01 00:00:00,158403.10704990814
251,4,3,2040-07-01 00:00:00,166569.93629051157
252,4,3,2041-07-01 00:00:00,174882.57003796485
253,4,3,2042-07-01 00:00:00,182794.56516455906
254,4,3,2043-07-01 00:00:00,194326.29218638683
255,4,3,2044-07-01 00:00:00,200601.06291712218
256,4,3,2045-07-01 00:00:00,204322.1811961428
257,4,3,2046-07-01 00:00:00,209336.83269982625
258,4,3,2047-07-01 00:00:00,217275.24042743474
259,4,3,2048-07-01 00:00:00,276225.7722243567
260,4,3,2049-07-01 00:00:00,288670.8083379189
261,5,1,2024-07-01 00:00:00,2890.8483924536777
262,5,1,2025-07-01 00:00:00,7158.290247314941
263,5,1,2026-07-01 00:00:00,14315.926039555025
264,5,1,2027-07-01 00:00:00,25744.101542442015
265,5,1,2028-07-01 00:00:00,42725.05439537782
266,5,1,2029-07-01 00:00:00,63592.00084447071
267,5,1,2030-07-01 00:00:00,64356.6792722156
268,5,1,2031-07-01 00:00:00,64496.08083791612
269,5,1,2032-07-01 00:00:00,66761.06439641521
270,5,1,2033-07-01 00:00:00,78989.3723874825
271,5,1,2034-07-01 00:00:00,79789.13073612175
272,5,1,2035-07-01 00:00:00,79787.63937176972
273,5,1,2036-07-01 00:00:00,79787.2316916896
274,5,1,2037-07-01 00:00:00,79792.46931411664
275,5,1,2038-07-01 00:00:00,80304.34327550442
276,5,1,2039-07-01 00:00:00,80640.07282964868
277,5,1,2040-07-01 00:00:00,80640.00714990243
278,5,1,2041-07-01 00:00:00,81200.64902952041
279,5,1,2042-07-01 00:00:00,81265.08622202942
280,5,1,2043-07-01 00:00:00,81630.18481234314
281,5,1,2044-07-01 00:00:00,81746.30418361737
282,5,1,2045-07-01 00:00:00,82020.54132950962
283,5,1,2046-07-01 00:00:00,82169.57426578616
284,5,1,2047-07-01 00:00:00,136464.8440862662
285,5,1,2048-07-01 00:00:00,190370.01962029785
286,5,1,2049-07-01 00:00:00,244289.11465961035
287,5,2,2024-07-01 00:00:00,2619.5648651400006
288,5,2,2025-07-01 00:00:00,6559.053364372455
289,5,2,2026-07-01 00:00:00,13284.719056519816
290,5,2,2027-07-01 00:00:00,23928.58431361356
291,5,2,2028-07-01 00:00:00,39945.62045195066
292,5,2,2029-07-01 00:00:00,59084.33403718276
293,5,2,2030-07-01 00:00:00,58915.60703378995
294,5,2,2031-07-01 00:00:00,58941.85376111012
295,5,2,2032-07-01 00:00:00,58764.24693021614
296,5,2,2033-07-01 00:00:00,80011.16217110933
297,5,2,2034-07-01 00:00:00,94427.70444237313
298,5,2,2035-07-01 00:00:00,104985.46330946306
299,5,2,2036-07-01 00:00:00,115652.65247414864
300,5,2,2037-07-01 00:00:00,126973.6120495971
301,5,2,2038-07-01 00:00:00,139532.38297218212
302,5,2,2039-07-01 00:00:00,150650.42428811616
303,5,2,2040-07-01 00:00:00,161718.6800175496
304,5,2,2041-07-01 00:00:00,182053.92834982014
305,5,2,2042-07-01 00:00:00,192959.60307081367
306,5,2,2043-07-01 00:00:00,204207.78330595378
307,5,2,2044-07-01 00:00:00,225701.8916709742
308,5,2,2045-07-01 00:00:00,229224.61101728395
309,5,2,2046-07-01 00:00:00,239052.64998633784
310,5,2,2047-07-01 00:00:00,252304.83737235705
311,5,2,2048-07-01 00:00:00,285731.80886939645
312,5,2,2049-07-01 00:00:00,285714.6653325518
313,5,3,2024-07-01 00:00:00,2673.860050075721
314,5,3,2025-07-01 00:00:00,6843.7841899598225
315,5,3,2026-07-01 00:00:00,13858.897614942847
316,5,3,2027-07-01 00:00:00,25166.88488089461
317,5,3,2028-07-01 00:00:00,42282.389822215104
318,5,3,2029-07-01 00:00:00,63571.32776698617
319,5,3,2030-07-01 00:00:00,85250.07976308637
320,5,3,2031-07-01 00:00:00,135835.829784806
