id,electrolyser_id,scenario,date,value
853,11,3,2044-07-01 00:00:00,226691.6
854,11,3,2045-07-01 00:00:00,215998.59999999998
855,11,3,2046-07-01 00:00:00,207444.19999999998
856,11,3,2047-07-01 00:00:00,196751.19999999998
857,11,3,2048-07-01 00:00:00,188196.8
858,11,3,2049-07-01 00:00:00,179642.4
859,12,1,2024-07-01 00:00:00,2513924.3
860,12,1,2025-07-01 00:00:00,2273331.8
861,12,1,2026-07-01 00:00:00,2056263.9
862,12,1,2027-07-01 00:00:00,1859512.6999999997
863,12,1,2028-07-01 00:00:00,1682008.9
864,12,1,2029-07-01 00:00:00,1521613.9
865,12,1,2030-07-01 00:00:00,1376189.0999999999
866,12,1,2031-07-01 00:00:00,1244665.2
867,12,1,2032-07-01 00:00:00,1124903.5999999999
868,12,1,2033-07-01 00:00:00,1017973.6
869,12,1,2034-07-01 00:00:00,920667.2999999999
870,12,1,2035-07-01 00:00:00,831915.4
871,12,1,2036-07-01 00:00:00,752787.2
872,12,1,2037-07-01 00:00:00,681144.1
873,12,1,2038-07-01 00:00:00,615916.7999999999
874,12,1,2039-07-01 00:00:00,557105.2999999999
875,12,1,2040-07-01 00:00:00,503640.3
876,12,1,2041-07-01 00:00:00,491878
877,12,1,2042-07-01 00:00:00,480115.69999999995
878,12,1,2043-07-01 00:00:00,452313.89999999997
879,12,1,2044-07-01 00:00:00,438412.99999999994
880,12,1,2045-07-01 00:00:00,425581.39999999997
881,12,1,2046-07-01 00:00:00,405264.69999999995
882,12,1,2047-07-01 00:00:00,383878.69999999995
883,12,1,2048-07-01 00:00:00,367839.19999999995
884,12,1,2049-07-01 00:00:00,350730.39999999997
885,12,2,2024-07-01 00:00:00,2513924.3
886,12,2,2025-07-01 00:00:00,2259430.9
887,12,2,2026-07-01 00:00:00,2030600.6999999997
888,12,2,2027-07-01 00:00:00,1825295.0999999999
889,12,2,2028-07-01 00:00:00,1640306.1999999997
890,12,2,2029-07-01 00:00:00,1474564.7
891,12,2,2030-07-01 00:00:00,1324862.7
892,12,2,2031-07-01 00:00:00,1191200.2
893,12,2,2032-07-01 00:00:00,1070369.2999999998
894,12,2,2033-07-01 00:00:00,962369.9999999999
895,12,2,2034-07-01 00:00:00,865063.7
896,12,2,2035-07-01 00:00:00,777381.1
897,12,2,2036-07-01 00:00:00,698252.8999999999
898,12,2,2037-07-01 00:00:00,627679.1
899,12,2,2038-07-01 00:00:00,564590.3999999999
900,12,2,2039-07-01 00:00:00,506848.19999999995
901,12,2,2040-07-01 00:00:00,455521.8
902,12,2,2041-07-01 00:00:00,434135.8
903,12,2,2042-07-01 00:00:00,417027
904,12,2,2043-07-01 00:00:00,398848.89999999997
905,12,2,2044-07-01 00:00:00,382809.39999999997
906,12,2,2045-07-01 00:00:00,368908.49999999994
907,12,2,2046-07-01 00:00:00,357146.19999999995
908,12,2,2047-07-01 00:00:00,345383.89999999997
909,12,2,2048-07-01 00:00:00,334690.9
